1,70CIV01,15,15,28,0,0
2,70CIV02,15,15,28,0,0
3,70CIV03,15,15,28,0,0
4,70CIV04,15,15,28,0,0
5,70CIV05,15,15,28,0,0
6,70CIV06,15,15,28,0,0
7,70CIV07,15,15,28,0,0
8,70CIV08,15,15,28,0,0
9,70CIV09,15,15,28,0,0
10,70CIV10,15,15,28,0,0
11,70CIV11,15,15,28,0,0
12,70CIV12,15,15,28,0,0
13,70CIV13,15,15,28,0,0
14,70CIV14,15,15,28,0,0
15,70CSE01,15,15,28,0,0
16,aits051001,15,15,28,0,0
17,aits051002,15,15,28,0,0
18,aits051003,15,15,28,0,0
19,aits051004,15,15,28,0,0
20,aits051005,15,15,28,0,0
21,aits051006,15,15,28,0,0
22,aits051007,15,15,28,0,0
23,aits051008,15,15,28,0,0
24,aits051009,15,15,28,0,0
25,aits051010,15,15,28,0,0
26,aits051011,15,15,28,0,0
27,aits051012,15,15,28,0,0
28,aits051013,15,15,28,0,0
29,aits051014,15,15,28,0,0
30,aits051015,15,15,28,0,0
31,aits051016,15,15,28,0,0
32,aits051017,15,15,28,0,0
33,aits051018,15,15,28,0,0
34,aits051019,15,15,28,0,0
35,aits051020,15,15,28,0,0
36,aits051021,15,15,28,0,0
37,aits051022,15,15,28,0,0
38,aits051023,15,15,28,0,0
39,aits051024,15,15,28,0,0
40,aits051025,15,15,28,0,0
41,aits051026,15,15,28,0,0
42,aits051027,15,15,28,0,0
43,aits051028,15,15,28,0,0
44,aits051029,15,15,28,0,0
45,aits051030,15,15,28,0,0
46,aits051031,15,15,28,0,0
47,aits051032,15,15,28,0,0
48,aits051033,15,15,28,0,0
49,aits051034,15,15,28,0,0
50,aits051035,15,15,28,0,0
51,aits051036,15,15,28,0,0
52,aits051037,15,15,28,0,0
53,aits051038,15,15,28,0,0
54,aits051039,15,15,28,0,0
55,aits051040,15,15,28,0,0
56,aits051041,15,15,28,0,0
57,aits051042,15,15,28,0,0
58,aits051043,15,15,28,0,0
59,aits051044,15,15,28,0,0
60,aits051045,15,15,28,0,0
61,aits051046,15,15,28,0,0
62,aits051047,15,15,28,0,0
63,aits051048,15,15,28,0,0
64,aits051049,15,15,28,0,0
65,aits051050,15,15,28,0,0
66,70ECE19,15,15,28,0,0
67,70ECE20,15,15,28,0,0
68,70ECE21,15,15,28,0,0
69,70ECE22,15,15,28,0,0
70,70ECE23,15,15,28,0,0
71,70ECE24,15,15,28,0,0
72,70ECE25,15,15,28,0,0
73,70ECE26,15,15,28,0,0
74,70ECE27,15,15,28,0,0
75,70ECE28,15,15,28,0,0
76,70ECE29,15,15,28,0,0
77,70ECE30,15,15,28,0,0
78,70ECE31,15,15,28,0,0
79,70ECE32,15,15,28,0,0
80,70ECE33,15,15,28,0,0
81,70ECE34,15,15,28,0,0
82,70ECE35,15,15,28,0,0
83,70ECE36,15,15,28,0,0
84,70EEE01,15,15,28,0,0
85,70EEE02,15,15,28,0,0
